9619.00.00;47416;ABSORVENTE SEMPRE LIVRE C/ABAS NOTURNO COBERTURA SECA;060;UN;4.50;24.00;108.00;0.00
9619.00.00;27407;ABSORVENTE SEMPRE LIVRE C/ABAS NOTURNO SUAVE C/8;060;UN;5.00;80.00;400.00;0.00
9619.00.00;28939;ABSORVENTE SEMPRE LIVRE C/ABAS SUAVE ADAPT C/8 PG7 @7891010973483;060;UN;2.29;93.00;212.97;0.00
9619.00.00;2845;ABSORVENTE SEMPRE LIVRE C/ABAS TRIPROTECT SUAVE C/8 @;060;UN;3.59;1.00;3.59;0.00
9619.00.00;51746;ABSORVENTE SEMPRE LIVRE C/ABAS ULTRAFINO C/8;060;UN;3.49;144.00;502.56;0.00
9619.00.00;44404;ABSORVENTE SEMPRE LIVRE FIT C/ABAS LEV16PAG14;060;UN;5.53;37.00;204.61;0.00
9619.00.00;50686;ABSORVENTE SEMPRE LIVRE NOTURNO C/32 L MAIS PAG MENOS;060;UN;18.57;13.00;241.41;0.00
9619.00.00;13456;ABSORVENTE SEMPRE LIVRE S/ABAS ESPECIAL ADAPT SUAVE C/8;060;UN;3.35;19.00;63.65;0.00
9619.00.00;2846;ABSORVENTE SEMPRE LIVRE S/ABAS NORMAL TRIPROTECT;060;UN;3.59;2.00;7.18;0.00
9619.00.00;47120;ABSORVENTE SEMPRE LIVRE S/ABAS TERMO CONTROL MAX SUAVE C/8;060;UN;3.15;16.00;50.40;0.00
9619.00.00;57998;ABSORVENTE SYM C/ABAS DIA E NOITE LV16 PG14;060;UN;4.91;90.00;441.90;0.00
9619.00.00;9255;ABSORVENTE SYM C/ABAS GIRL SUAVE C/8 @@;060;UN;1.71;164.00;280.44;0.00
9619.00.00;61013;ABSORVENTE SYM C/ABAS SECA LEV32PAG28 TOTAL PROTECT;060;UN;6.76;7.00;47.32;0.00
9619.00.00;37974;ABSORVENTE SYM C/ABAS SECA LEV8PG7;060;UN;1.56;229.00;357.24;0.00
9619.00.00;30259;ABSORVENTE SYM C/ABAS SUAVE C/8 @ 7896110007700;060;UN;1.69;103.00;174.07;0.00
9619.00.00;31661;ABSORVENTE SYM C/ABAS SUAVE LEV16PG14;060;UN;2.97;135.00;400.95;0.00
