11992;110;UN;3.78
12023;459;UN;2.28
12032;46;UN;3.78
12061;26;UN;3.78
12080;11;UN;3.19
12106;79;UN;4.78
12125;6;UN;6.19
12161;8;UN;4.98
12162;25;UN;22.9
12169;539;UN;1.79
12181;10;UN;4.58
12187;27;UN;3.98
12191;6;UN;6.98
12207;482;UN;1.79
12222;23;UN;2.79
12224;8;UN;2.98
12228;1234;UN;1.49
12257;4;UN;8.99
12264;4;UN;3.58
12277;129;UN;12.58
12282;22;UN;8.78
12283;11;UN;8.98
12307;270;UN;2.49
12317;5;UN;25.9
12321;25;UN;11.98
12345;119;UN;2.89
12346;12;UN;5.98
12348;200;UN;4.98
12349;21;UN;15.78
12366;1;UN;5.58
12369;4;UN;6.78
12613;65;UN;5.98
12616;32;UN;1.59
12631;43;UN;2.99
12642;34;UN;7.78
12666;311;UN;2.19
12680;6;UN;49.9
12745;3;UN;14.78
12748;15;UN;26.9
12749;36;UN;26.9
12750;8;UN;9.98
12751;10;UN;9.78
12783;4;UN;3.58
12934;17;UN;14.98
12938;2;UN;28.9
12939;176;UN;7.19
12944;41;UN;8.98
12949;69;UN;2.69
12952;11;UN;8.58
12953;7;UN;8.58
12954;10;UN;8.58
12955;6;UN;8.58
12976;15;UN;3.58
12980;116;UN;7.19
12995;12;UN;8.58
13018;25;UN;12.58
13027;95;UN;4.58
13052;76;UN;7.98
13073;2;UN;10.98
13099;12;UN;5.58
13104;19;UN;4.98
13170;19;UN;13.58
13176;21;UN;9.78
13180;599;UN;0.99
13286;24;UN;5.78
13287;11;UN;2.29
13288;101;UN;2.89
13291;711;UN;3.98
13292;10;UN;10.58
13311;9;UN;1.69
13316;76;UN;9.78
13317;14;UN;9.78
13341;79;UN;5.58
13360;1;UN;11.58
13361;2;UN;5.98
13377;18;UN;4.98
13381;149;UN;1.49
13393;22;UN;3.19
13394;51;UN;26.9
13395;7;UN;26.9
13400;188;UN;2.69
13403;18;UN;9.78
13410;8;UN;14.78
13417;33;UN;6.19
13422;15;UN;7.98
13426;1293;UN;2.59
13430;2;UN;4.78
13432;8;UN;4.78
13456;19;UN;4.78
13459;91;UN;3.19
13482;16;UN;6.78
13483;16;UN;7.19
13484;19;UN;7.19
13485;7;UN;7.78
13486;12;UN;8.58
13495;8;UN;4.19
13541;7;UN;18.95
13565;8;UN;6.98
13589;5;UN;8.58
13590;3;UN;8.58
13607;1;UN;7.78
13685;2;UN;64.9
13688;102;UN;2.98
13729;150;UN;12.58
13730;233;UN;2.58
13734;13;UN;5.35
13738;102;UN;2.58
13740;34;UN;3.78
13768;5;UN;9.98
13798;15;UN;6.58
13822;17;UN;13.58
13843;9;UN;4.98
13850;24;UN;5.58
13854;9;UN;6.98
13858;6;UN;9.98
13910;300;UN;2.95
13922;14;UN;8.58
13923;21;UN;8.58
13926;1;UN;3.19
13932;7;UN;10.58
13951;5;UN;19.9
13952;1;UN;33.9
13962;24;UN;3.19
13971;207;UN;4.58
13977;45;UN;6.58
13979;14;UN;8.58
13991;12;UN;31.9
14016;31;UN;1.59
14022;26;UN;7.58
14023;73;UN;7.58
14047;235;UN;4.98
14056;-42;UN;5.98
14074;8;UN;14.58
14075;13;UN;13.78
14102;20;UN;31.9
14105;280;UN;4.98
14109;1264;UN;2.78
14111;13;UN;8.98
14129;39;UN;5.78
14140;20;UN;8.58
14161;2;UN;13.95
14165;10;UN;2.19
14203;10;UN;9.78
14244;179;UN;6.58
14328;-244;UN;8
14350;18;UN;4.58
14355;122;UN;6.98
14362;26;UN;4.49
14364;56;UN;14.58
14367;47;UN;4.19
14372;7;UN;11.98
14374;10;UN;12.98
14401;10;UN;14.98
